command,prompt,output
echo,display simple text message,"echo ""Hello World"""
echo,display multiple words,echo This is a test message
echo,display text with variables,"echo ""My username is $USER"""
echo,display arithmetic result,echo $((5+3))
echo,display command output,echo $(ls)
ls,list files in current directory,ls
ls,show hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files with human-readable sizes,ls -lh
ls,sort files by modification time,ls -lt
mkdir,create a single directory,mkdir new_folder
mkdir,create multiple directories,mkdir -p parent/child/grandchild
mkdir,create directories with numeric names,mkdir {2020..2022}-{01..12}
cd,change to home directory,cd ~
cd,change to previous directory,cd -
cd,change to parent directory,cd ..
which,locate full path of a command,which ls
which,find multiple command locations,which -a python
file,determine file type,file /bin/ls
file,show mime type,file -i /etc/passwd
printenv,show all environment variables,printenv
printenv,show specific variable,printenv HOME
mv,rename a file,mv oldname.txt newname.txt
mv,move file to directory,mv file.txt /home/user/
sleep,pause script execution,sleep 5
sleep,create countdown timer,"sleep 10; echo ""Time's up"""
echo,display simple text message,"echo ""Hello"
echo,display multiple words,echo This is a test message
echo,display variable value,echo $USER
echo,display arithmetic result,echo $((2 + 2))
echo,display command output,echo $(ls)
echo,display with special characters,"echo -e ""Line 1\nLine 2"""
ls,list files in current directory,ls
ls,show hidden files,ls -a
ls,show detailed file listing,ls -l
ls,show files sorted by time,ls -t
ls,show human-readable file sizes,ls -lah
mkdir,create single directory,mkdir newdir
mkdir,create multiple directories,mkdir -p project/{src
mkdir,create nested directories,mkdir -p parent/child/grandchild
cd,change to home directory,cd ~
cd,change to specific directory,cd /usr/local
cd,move up one directory,cd ..
which,locate command executable,which ls
which,show full path of command,which python3
file,determine file type,file /bin/ls
file,show file details,file *
printenv,show all environment variables,printenv
printenv,show specific variable,printenv HOME
sleep,pause execution for seconds,sleep 5
sleep,create simple countdown,"sleep 10 && echo ""Time's up!"""
mv,rename single file,mv oldname.txt newname.txt
mv,move file to directory,mv file.txt /path/to/destination
mv,move multiple files,mv file1.txt file2.txt /destination
clear,clear the terminal screen,clear
history,view command history,history
history,search command history for a specific term,history | grep keyword
history,save command history to a file,history > command_history.txt
history,limit history output,history 20
ls,list files in current directory,ls
ls,show hidden files,ls -a
ls,show detailed file information,ls -l
ls,show files with human-readable sizes,ls -lah
ls,sort files by modification time,ls -lt
id,display current user identity,id
id,show numeric user and group IDs,id -u
id,show group memberships,id -G
id,show user name,id -un
id,show group names,id -gn
chmod,add execute permission to a file,chmod +x filename
chmod,remove write permission from a file,chmod -w filename
chmod,set specific permissions (read/write/execute),chmod 755 filename
chmod,recursively change permissions,chmod -R 644 directory
chmod,change permissions using symbolic mode,chmod u+rwx
